0		0.13956	0.168305	0.0110815	0.0447087	0.0837693
1		0.139562	0.168306	0.0110832	0.0447088	0.0837698
2		0.139564	0.168307	0.0110835	0.0447089	0.0837713
3		0.139564	0.168308	0.0110826	0.0447089	0.0837726
4		0.139563	0.168309	0.0110807	0.044709	0.0837735
5		0.139559	0.168307	0.0110789	0.0447091	0.0837714
6		0.139553	0.168302	0.0110773	0.0447092	0.083767
7		0.139544	0.168294	0.0110764	0.0447094	0.0837587
8		0.139534	0.168283	0.0110763	0.0447095	0.0837486
9		0.139523	0.168271	0.0110764	0.0447097	0.0837374
10		0.139513	0.16826	0.0110766	0.0447099	0.0837269
11		0.139505	0.168251	0.0110761	0.0447101	0.0837187
12		0.139497	0.168243	0.0110739	0.0447105	0.0837121
13		0.139488	0.168236	0.0110696	0.044711	0.083707
14		0.139475	0.168226	0.0110637	0.0447117	0.0836994
15		0.139456	0.16821	0.0110557	0.0447125	0.0836874
16		0.139424	0.168183	0.0110457	0.0447135	0.0836651
17		0.139378	0.168141	0.0110339	0.0447147	0.0836298
18		0.139313	0.168078	0.0110196	0.0447164	0.0835766
19		0.139226	0.167991	0.0110051	0.0447184	0.0835027
20		0.139116	0.167879	0.010985	0.0447213	0.0834099
21		0.138974	0.16773	0.0109602	0.0447253	0.0832885
22		0.1388	0.167543	0.0109329	0.0447299	0.0831369
23		0.138587	0.167313	0.010895	0.0447363	0.0829555
24		0.138318	0.167017	0.010844	0.0447446	0.0827297
25		0.137992	0.16664	0.0107906	0.0447547	0.0824471
26		0.137598	0.166179	0.0107308	0.0447661	0.0821011
27		0.137129	0.165607	0.0106691	0.0447823	0.0816772
28		0.136611	0.164913	0.0106238	0.0448026	0.0811845
29		0.136001	0.164108	0.0105677	0.044829	0.0806038
30		0.135317	0.163164	0.0105218	0.0448531	0.079942
31		0.134714	0.162141	0.0105578	0.0448877	0.079269
32		0.13427	0.161149	0.0106808	0.044964	0.0786253
33		0.134174	0.16034	0.0109274	0.0450278	0.0782188
34		0.133866	0.159262	0.011154	0.0451015	0.0776107
35		0.133181	0.158015	0.0110851	0.0451436	0.0769526
36		0.132212	0.156834	0.0108123	0.0452621	0.0761373
37		0.131584	0.155749	0.010547	0.0453791	0.0756582
38		0.129514	0.153131	0.0103918	0.0455059	0.0736166
39		0.127203	0.150658	0.0097465	0.0456784	0.0717778
40		0.1251	0.148155	0.00938812	0.0457401	0.0699716
41		0.12195	0.144255	0.00920467	0.0459185	0.0668264
42		0.118872	0.140411	0.00854872	0.0459461	0.0643777
43		0.118054	0.137872	0.00850022	0.0461561	0.0633972
44		0.11708	0.134993	0.00836826	0.0465443	0.0621673
45		0.117825	0.132176	0.00845862	0.0473638	0.0620026
46		0.122813	0.131758	0.00978329	0.0482481	0.0647816
47		0.137665	0.133664	0.0146501	0.0517601	0.0712551
